Token #1: my  MY [1,1]
Token #3: fun  FUN [1,4]
Token #5: funcionx  ID [1,8]
Token #6: (  ABRIRPARENTESIS [1,16]
Token #7: $  DOLAR [1,17]
Token #8: param1  ID [1,18]
Token #9: ,  COMA [1,24]
Token #10: $  DOLAR [1,25]
Token #11: param2  ID [1,26]
Token #12: )  CERRARPARENTESIS [1,32]
Token #14: {  ABRIRLLAVES [2,1]
Token #17: my  MY [3,2]
Token #19: $  DOLAR [3,5]
Token #20: var  ID [3,6]
Token #22: =  ASIGNACION [3,10]
Token #24: $  DOLAR [3,12]
Token #25: param1  ID [3,13]
Token #27: +  MAS [3,20]
Token #29: $  DOLAR [3,22]
Token #30: param2  ID [3,23]
Token #31: ;  PUNTOCOMA [3,29]
Token #34: print  PRINT [4,2]
Token #35: (  ABRIRPARENTESIS [4,7]
Token #36: $  DOLAR [4,8]
Token #37: var  ID [4,9]
Token #38: )  CERRARPARENTESIS [4,12]
Token #39: ;  PUNTOCOMA [4,13]
Token #41: }  CERRARLLAVES [5,1]
Token #44: fun  FUN [7,1]
Token #46: funcionx  ID [7,5]
Token #47: (  ABRIRPARENTESIS [7,13]
Token #48: 1  NUMERO [7,14]
Token #49: ,  COMA [7,15]
Token #50: 2  NUMERO [7,16]
Token #51: )  CERRARPARENTESIS [7,17]
Token #52: ;  PUNTOCOMA [7,18]
